Hospital Name,Beds Available,Ventilators Available,ICU Available,Location Type,Emergency Department,Pediatric Care,Specialized Department,Ambulance Services,Year of Establishment
Hospital 2335,66,31,44,Urban,Yes,No,Oncology,No,2007
Hospital 2336,166,16,7,Rural,Yes,Yes,Orthopedics,Yes,1962
Hospital 2337,46,7,16,Rural,No,No,Neurology,No,2003
Hospital 2338,291,80,58,Urban,Yes,Yes,Oncology,Yes,1973
Hospital 2339,76,5,52,Rural,No,Yes,General,No,1998
Hospital 2340,164,69,87,Urban,Yes,No,Cardiology,No,1990
Hospital 2341,198,59,93,Rural,Yes,Yes,Neurology,Yes,2018
Hospital 2342,144,25,51,Rural,Yes,No,Cardiology,No,2017
Hospital 2343,215,88,78,Urban,No,No,None,Yes,1980
Hospital 2344,136,72,14,Urban,No,Yes,General,No,2005
Hospital 2345,500,22,45,Rural,No,No,Oncology,No,1996
Hospital 2346,298,56,75,Rural,No,No,Orthopedics,Yes,2015
Hospital 2347,498,68,89,Urban,Yes,Yes,Cardiology,Yes,1985
Hospital 2348,294,2,87,Urban,Yes,Yes,Cardiology,Yes,1998
Hospital 2349,310,12,75,Rural,Yes,Yes,Orthopedics,No,1998
Hospital 2350,355,30,65,Rural,Yes,No,Cardiology,No,1987
Hospital 2351,434,81,80,Rural,Yes,No,Oncology,No,2002
Hospital 2352,248,95,92,Rural,Yes,Yes,Orthopedics,No,1994
Hospital 2353,217,32,28,Urban,No,No,Orthopedics,Yes,2008
Hospital 2354,240,32,32,Urban,Yes,No,Orthopedics,No,1974
Hospital 2355,344,36,39,Rural,No,No,Oncology,Yes,1964
Hospital 2356,97,46,3,Rural,No,No,Cardiology,No,1991
Hospital 2357,477,41,3,Rural,Yes,Yes,None,No,1973
Hospital 2358,184,91,51,Urban,No,No,Orthopedics,No,1950
Hospital 2359,378,6,39,Rural,No,Yes,General,No,1959
Hospital 2360,102,62,32,Urban,No,Yes,Oncology,Yes,1977
Hospital 2361,34,81,15,Urban,No,Yes,Orthopedics,No,1964
Hospital 2362,117,80,55,Rural,Yes,No,Oncology,No,2013
Hospital 2363,120,66,30,Rural,Yes,No,Neurology,Yes,1988
Hospital 2364,68,45,19,Urban,No,No,None,No,1958
Hospital 2365,321,19,71,Rural,Yes,Yes,Neurology,No,2010
Hospital 2366,457,64,11,Rural,No,No,Oncology,No,1983
Hospital 2367,387,78,98,Urban,No,Yes,Orthopedics,No,1986
Hospital 2368,450,33,55,Urban,Yes,No,Oncology,Yes,1999
Hospital 2369,410,13,43,Rural,No,No,Cardiology,No,1985
Hospital 2370,389,89,30,Rural,No,No,None,No,2009
Hospital 2371,56,53,4,Urban,No,Yes,General,Yes,2014
Hospital 2372,496,98,54,Rural,No,No,Cardiology,No,2010
Hospital 2373,460,50,99,Rural,Yes,Yes,Orthopedics,No,1950
Hospital 2374,476,88,60,Rural,Yes,Yes,Cardiology,Yes,1999
Hospital 2375,329,43,12,Rural,No,Yes,Neurology,No,1991
Hospital 2376,415,63,53,Urban,No,No,Neurology,No,1952
Hospital 2377,360,100,77,Urban,No,Yes,Neurology,Yes,1963
Hospital 2378,463,60,37,Urban,Yes,Yes,None,Yes,1985
Hospital 2379,136,62,85,Rural,Yes,No,Cardiology,Yes,1975
Hospital 2380,259,87,82,Rural,Yes,No,Orthopedics,No,1999
Hospital 2381,450,75,35,Urban,No,No,Cardiology,No,1986
Hospital 2382,174,63,40,Urban,No,No,Oncology,No,1956
Hospital 2383,476,48,76,Urban,No,Yes,Oncology,No,2003
Hospital 2384,302,50,43,Urban,No,No,General,No,1980
Hospital 2385,169,39,73,Rural,No,Yes,Neurology,No,2010
Hospital 2386,174,93,29,Urban,No,Yes,None,Yes,1971
Hospital 2387,392,13,92,Urban,No,No,Oncology,No,1986
Hospital 2388,248,5,5,Urban,Yes,Yes,General,Yes,1998
Hospital 2389,448,27,54,Urban,No,Yes,General,Yes,1992
Hospital 2390,51,36,91,Urban,Yes,No,None,Yes,1992
Hospital 2391,461,96,51,Urban,No,Yes,Oncology,Yes,1969
Hospital 2392,126,61,76,Rural,No,Yes,None,No,1999
Hospital 2393,21,38,76,Urban,Yes,No,Orthopedics,No,2011
Hospital 2394,84,51,37,Rural,Yes,No,Orthopedics,No,1962
Hospital 2395,281,34,48,Rural,No,No,Orthopedics,Yes,1950
Hospital 2396,54,13,54,Rural,No,Yes,Orthopedics,No,1969
Hospital 2397,489,88,80,Urban,Yes,No,Oncology,No,1995
Hospital 2398,439,52,39,Urban,Yes,No,Oncology,Yes,1971
Hospital 2399,198,45,94,Rural,Yes,Yes,None,No,2021
Hospital 2400,312,6,28,Urban,No,No,Cardiology,Yes,1958
Hospital 2401,368,76,34,Urban,Yes,No,Neurology,Yes,1991
Hospital 2402,73,40,10,Urban,No,No,Neurology,Yes,1978
Hospital 2403,151,0,51,Rural,Yes,No,None,Yes,1977
Hospital 2404,345,35,60,Rural,No,No,None,Yes,1965
Hospital 2405,157,79,37,Rural,No,Yes,Neurology,Yes,1955
Hospital 2406,233,37,26,Rural,Yes,No,Cardiology,No,2023
Hospital 2407,382,72,59,Rural,No,Yes,None,No,1982
Hospital 2408,217,75,24,Urban,Yes,No,Orthopedics,Yes,1985
Hospital 2409,284,88,27,Urban,No,No,Cardiology,Yes,1981
Hospital 2410,368,56,68,Urban,No,Yes,Cardiology,No,2018
Hospital 2411,420,7,32,Rural,No,Yes,General,No,1957
Hospital 2412,200,28,11,Rural,No,No,Cardiology,Yes,1958
Hospital 2413,22,28,82,Urban,No,Yes,None,No,1992
Hospital 2414,156,94,1,Rural,Yes,Yes,Cardiology,Yes,1968
Hospital 2415,39,24,94,Rural,No,No,Oncology,No,1997
Hospital 2416,325,74,30,Rural,Yes,Yes,Oncology,No,1963
Hospital 2417,293,74,68,Rural,No,No,General,Yes,2017
Hospital 2418,239,49,8,Rural,Yes,No,General,No,1957
Hospital 2419,303,50,49,Urban,No,Yes,Orthopedics,Yes,2017
Hospital 2420,175,36,1,Rural,Yes,No,Oncology,Yes,1981
Hospital 2421,423,14,68,Rural,Yes,Yes,Cardiology,No,2012
Hospital 2422,103,12,100,Urban,No,No,Neurology,Yes,1988
Hospital 2423,109,87,6,Urban,Yes,No,Cardiology,Yes,1964
Hospital 2424,373,6,29,Urban,No,No,Cardiology,No,2010
Hospital 2425,297,23,2,Rural,Yes,No,Cardiology,Yes,1989
Hospital 2426,481,93,60,Rural,No,Yes,Orthopedics,No,2021
Hospital 2427,450,39,5,Urban,No,Yes,Neurology,No,1966
Hospital 2428,116,26,78,Rural,No,No,Oncology,No,2022
Hospital 2429,337,32,11,Rural,Yes,No,Cardiology,Yes,1980
Hospital 2430,497,65,84,Rural,No,No,Oncology,No,1983
Hospital 2431,403,39,24,Urban,No,No,Oncology,Yes,1951
Hospital 2432,89,28,81,Rural,No,No,Neurology,No,2012
Hospital 2433,132,93,33,Rural,Yes,Yes,Orthopedics,No,1960
Hospital 2434,396,0,68,Rural,Yes,Yes,None,No,1984
Hospital 2435,414,67,89,Urban,Yes,Yes,General,Yes,1992
Hospital 2436,392,54,32,Urban,No,No,General,Yes,1999
Hospital 2437,192,36,83,Rural,No,No,Neurology,Yes,1984
Hospital 2438,495,64,37,Rural,No,Yes,None,No,1971
Hospital 2439,405,92,63,Urban,Yes,Yes,General,No,1994
Hospital 2440,352,26,71,Rural,Yes,No,Cardiology,No,1953
Hospital 2441,265,80,0,Urban,Yes,Yes,Orthopedics,No,2021
Hospital 2442,289,16,61,Rural,No,No,Neurology,Yes,1950
Hospital 2443,421,11,25,Urban,Yes,Yes,Neurology,Yes,2018
Hospital 2444,245,30,86,Urban,No,Yes,Orthopedics,Yes,2023
Hospital 2445,362,6,6,Rural,No,Yes,Oncology,No,2022
Hospital 2446,293,85,89,Rural,No,No,Oncology,Yes,1962
Hospital 2447,317,63,95,Rural,Yes,No,General,Yes,1984
Hospital 2448,207,28,17,Urban,No,Yes,Neurology,Yes,2014
Hospital 2449,145,52,66,Urban,No,No,None,Yes,1965
Hospital 2450,485,1,6,Urban,Yes,Yes,General,No,1970
Hospital 2451,187,53,74,Urban,No,Yes,Neurology,Yes,2013
Hospital 2452,72,79,75,Rural,Yes,Yes,None,No,1989
Hospital 2453,35,89,21,Rural,Yes,Yes,Oncology,Yes,1998
Hospital 2454,376,94,2,Rural,Yes,Yes,Orthopedics,No,1996
Hospital 2455,167,86,29,Rural,Yes,Yes,Neurology,Yes,1985
Hospital 2456,62,17,34,Rural,Yes,No,Oncology,Yes,2002
Hospital 2457,466,9,30,Urban,No,Yes,General,Yes,1994
Hospital 2458,331,23,56,Urban,Yes,Yes,General,Yes,1981
Hospital 2459,75,54,1,Urban,No,No,Oncology,Yes,2011
Hospital 2460,469,92,53,Urban,No,Yes,None,No,1995
Hospital 2461,132,62,71,Urban,No,Yes,Neurology,No,2004
Hospital 2462,176,70,8,Rural,Yes,Yes,General,Yes,2004
Hospital 2463,262,12,66,Rural,No,No,Orthopedics,Yes,2006
Hospital 2464,243,4,53,Urban,No,No,General,Yes,1977
Hospital 2465,412,80,46,Urban,No,No,Neurology,Yes,1997
Hospital 2466,202,19,26,Urban,No,No,General,Yes,1959
Hospital 2467,214,56,57,Urban,No,No,Neurology,Yes,2023
Hospital 2468,75,47,61,Urban,Yes,Yes,Cardiology,No,1974
Hospital 2469,234,40,84,Urban,Yes,No,None,No,1988
Hospital 2470,350,49,50,Urban,No,No,Orthopedics,Yes,1985
Hospital 2471,376,92,78,Rural,No,Yes,Orthopedics,No,1956
Hospital 2472,129,51,46,Rural,Yes,Yes,Neurology,No,2014
Hospital 2473,122,81,73,Urban,Yes,Yes,Oncology,No,1966
Hospital 2474,320,77,60,Urban,Yes,Yes,Cardiology,Yes,2021
Hospital 2475,468,29,77,Rural,No,No,Oncology,Yes,1966
Hospital 2476,328,94,43,Urban,Yes,No,General,Yes,1972
Hospital 2477,273,19,91,Rural,No,No,Orthopedics,No,2020
Hospital 2478,171,9,22,Rural,No,No,Neurology,Yes,1954
Hospital 2479,395,26,40,Urban,No,No,General,Yes,2006
Hospital 2480,228,23,92,Urban,Yes,No,General,No,2002
Hospital 2481,497,78,84,Rural,Yes,Yes,Cardiology,No,1999
Hospital 2482,445,68,38,Rural,No,Yes,Cardiology,Yes,2011
Hospital 2483,328,15,62,Urban,Yes,Yes,None,No,1984
Hospital 2484,445,33,45,Rural,Yes,Yes,Cardiology,No,1973
Hospital 2485,209,26,40,Urban,Yes,No,Neurology,Yes,2017
Hospital 2486,202,24,82,Urban,Yes,No,Neurology,No,1953
Hospital 2487,58,44,46,Rural,Yes,Yes,Oncology,Yes,2013
Hospital 2488,77,76,9,Urban,Yes,Yes,Orthopedics,Yes,2010
Hospital 2489,185,60,10,Rural,Yes,No,None,Yes,2018
Hospital 2490,323,71,81,Urban,No,Yes,Cardiology,Yes,1976
Hospital 2491,468,10,9,Rural,No,No,None,No,1962
Hospital 2492,67,14,98,Rural,No,Yes,General,No,1968
Hospital 2493,457,9,54,Rural,Yes,No,Oncology,Yes,1971
Hospital 2494,85,23,10,Rural,Yes,No,None,Yes,2002
Hospital 2495,131,29,12,Urban,No,No,Cardiology,Yes,1950
Hospital 2496,179,93,20,Rural,No,Yes,General,Yes,2022
Hospital 2497,361,61,95,Rural,No,No,Oncology,No,1987
Hospital 2498,258,88,57,Urban,Yes,Yes,Oncology,No,2001
Hospital 2499,386,40,80,Rural,Yes,Yes,Orthopedics,No,2012
Hospital 2500,309,11,46,Urban,Yes,No,Neurology,No,2001
Hospital 2501,360,50,85,Rural,No,No,Orthopedics,No,1990
Hospital 2502,407,30,85,Rural,Yes,Yes,Oncology,No,1975
Hospital 2503,385,90,20,Urban,Yes,Yes,Oncology,Yes,1959
Hospital 2504,439,80,33,Rural,Yes,Yes,Oncology,Yes,1997
Hospital 2505,356,52,4,Rural,Yes,No,Cardiology,Yes,1999
Hospital 2506,196,89,6,Urban,No,No,Neurology,Yes,1996
Hospital 2507,466,23,58,Rural,Yes,Yes,Cardiology,Yes,1971
Hospital 2508,103,75,81,Rural,No,Yes,Neurology,Yes,1981
Hospital 2509,32,87,91,Urban,Yes,No,Neurology,No,2002
Hospital 2510,441,55,52,Rural,Yes,Yes,General,Yes,1992
Hospital 2511,278,75,78,Urban,Yes,Yes,None,Yes,1963
Hospital 2512,306,12,43,Rural,Yes,Yes,None,No,1959
Hospital 2513,94,22,40,Urban,Yes,No,None,Yes,1998
Hospital 2514,302,79,13,Rural,Yes,No,Orthopedics,Yes,1982
Hospital 2515,245,48,95,Urban,No,No,None,Yes,1958
Hospital 2516,366,17,39,Urban,No,No,Cardiology,Yes,2020
Hospital 2517,46,94,59,Urban,Yes,Yes,Oncology,No,1967
Hospital 2518,222,22,45,Urban,Yes,Yes,General,Yes,1968
Hospital 2519,329,43,53,Urban,Yes,Yes,Orthopedics,Yes,1950
Hospital 2520,402,43,33,Urban,Yes,Yes,Orthopedics,No,1964
Hospital 2521,104,23,97,Rural,Yes,Yes,Neurology,Yes,2021
Hospital 2522,152,73,16,Urban,Yes,No,General,Yes,1957
Hospital 2523,404,6,74,Rural,No,Yes,General,Yes,2022
Hospital 2524,164,98,58,Rural,No,No,Oncology,No,2013
Hospital 2525,136,84,51,Urban,No,Yes,Cardiology,No,1961
Hospital 2526,314,83,14,Urban,Yes,No,Cardiology,No,1953
Hospital 2527,21,14,95,Urban,No,No,General,No,2016
Hospital 2528,227,29,81,Rural,No,No,Neurology,Yes,1965
Hospital 2529,335,25,10,Rural,Yes,Yes,General,No,1994
Hospital 2530,281,2,93,Rural,Yes,No,General,No,2004
Hospital 2531,489,59,9,Urban,Yes,No,Orthopedics,No,1954
Hospital 2532,211,36,91,Urban,Yes,No,Orthopedics,Yes,2023
Hospital 2533,412,10,84,Rural,Yes,No,Cardiology,No,2004
Hospital 2534,331,96,83,Urban,No,Yes,General,Yes,1986
Hospital 2535,450,54,5,Urban,No,Yes,Orthopedics,Yes,1988
Hospital 2536,257,45,2,Urban,No,No,General,Yes,1981
Hospital 2537,392,8,72,Rural,No,Yes,None,Yes,1974
Hospital 2538,456,47,45,Urban,No,Yes,Neurology,No,1980
Hospital 2539,435,99,68,Urban,No,Yes,None,Yes,1954
Hospital 2540,356,84,43,Rural,No,Yes,Cardiology,No,2000
Hospital 2541,361,32,36,Urban,Yes,Yes,None,Yes,1996
Hospital 2542,92,92,28,Rural,Yes,No,Oncology,No,1951
Hospital 2543,346,65,69,Urban,No,Yes,General,Yes,2001
Hospital 2544,208,35,25,Urban,No,No,Neurology,No,2016
Hospital 2545,405,47,47,Urban,No,No,General,No,1978
Hospital 2546,127,34,55,Rural,Yes,No,Oncology,No,2015
Hospital 2547,130,77,4,Urban,Yes,Yes,Neurology,No,1973
Hospital 2548,82,55,53,Rural,No,Yes,None,Yes,1998
Hospital 2549,407,16,61,Rural,Yes,Yes,Oncology,Yes,2022
Hospital 2550,354,80,49,Urban,No,No,None,No,1985
Hospital 2551,48,42,24,Rural,Yes,Yes,General,Yes,1994
Hospital 2552,236,8,47,Urban,Yes,Yes,None,No,1983
Hospital 2553,174,29,39,Urban,Yes,Yes,None,Yes,1950
Hospital 2554,251,82,49,Rural,Yes,Yes,General,No,2016
Hospital 2555,444,71,88,Rural,No,No,Orthopedics,Yes,1970
Hospital 2556,292,32,36,Rural,Yes,No,Oncology,No,1977
Hospital 2557,134,78,79,Urban,No,No,None,No,1976
Hospital 2558,48,11,31,Rural,No,No,None,No,1954
Hospital 2559,342,68,89,Rural,Yes,No,Orthopedics,Yes,2014
Hospital 2560,186,53,25,Rural,Yes,Yes,Cardiology,No,1985
Hospital 2561,110,57,0,Rural,Yes,No,None,Yes,1981
Hospital 2562,198,97,36,Rural,Yes,Yes,Neurology,No,2023
Hospital 2563,160,37,75,Rural,Yes,Yes,Oncology,Yes,1985
Hospital 2564,316,49,73,Rural,No,No,None,Yes,1984
Hospital 2565,344,38,46,Urban,No,Yes,Cardiology,Yes,2009
Hospital 2566,399,49,85,Urban,No,Yes,Orthopedics,Yes,1998
Hospital 2567,135,34,96,Rural,No,Yes,Cardiology,Yes,2007
Hospital 2568,219,29,9,Rural,No,No,Cardiology,No,1957
Hospital 2569,21,49,41,Urban,No,No,Cardiology,No,1968
Hospital 2570,351,93,28,Rural,No,Yes,None,Yes,1997
Hospital 2571,36,74,15,Rural,Yes,Yes,Oncology,No,2012
Hospital 2572,250,24,86,Rural,No,Yes,Orthopedics,No,1963
Hospital 2573,428,95,73,Rural,No,Yes,Neurology,Yes,2015
Hospital 2574,351,72,37,Urban,No,No,Oncology,Yes,1950
Hospital 2575,184,20,15,Urban,Yes,Yes,Neurology,Yes,2004
Hospital 2576,89,61,34,Urban,No,No,Orthopedics,No,2020
Hospital 2577,363,50,29,Urban,Yes,Yes,Orthopedics,Yes,2009
Hospital 2578,172,55,41,Rural,No,No,Neurology,No,1988
Hospital 2579,350,22,70,Rural,Yes,No,Cardiology,Yes,2000
Hospital 2580,282,33,22,Urban,Yes,No,Oncology,No,1970
Hospital 2581,316,7,68,Urban,Yes,No,General,Yes,1989
Hospital 2582,360,95,24,Urban,Yes,No,Orthopedics,Yes,1960
Hospital 2583,312,5,67,Rural,Yes,No,None,Yes,2002
Hospital 2584,433,10,62,Urban,No,No,Neurology,Yes,1983
Hospital 2585,346,13,93,Rural,No,Yes,None,No,2011
Hospital 2586,77,93,63,Rural,Yes,No,Oncology,No,1965
Hospital 2587,187,76,99,Urban,Yes,No,Cardiology,No,1958
Hospital 2588,254,55,20,Rural,No,Yes,Orthopedics,Yes,1994
Hospital 2589,64,33,4,Rural,No,No,Oncology,Yes,1953
Hospital 2590,321,19,44,Rural,No,Yes,Neurology,Yes,1974
Hospital 2591,126,100,31,Rural,No,No,None,Yes,1989
Hospital 2592,278,50,50,Urban,Yes,No,Orthopedics,Yes,1995
Hospital 2593,422,66,75,Rural,Yes,No,Orthopedics,No,1974
Hospital 2594,338,81,42,Rural,No,No,Orthopedics,Yes,1999
Hospital 2595,66,71,49,Urban,Yes,No,General,No,1991
Hospital 2596,87,90,95,Urban,Yes,Yes,Orthopedics,Yes,1950
Hospital 2597,36,74,92,Urban,Yes,Yes,Cardiology,Yes,1987
Hospital 2598,348,12,71,Rural,Yes,No,None,No,1974
Hospital 2599,162,70,79,Rural,No,No,Oncology,Yes,2002
Hospital 2600,459,68,14,Rural,Yes,No,Oncology,No,1985
Hospital 2601,281,97,97,Urban,Yes,No,Neurology,No,1954
Hospital 2602,158,46,4,Urban,No,No,Orthopedics,No,1988
Hospital 2603,316,48,79,Urban,Yes,Yes,Oncology,No,1968
Hospital 2604,235,26,83,Rural,Yes,Yes,Neurology,Yes,1951
Hospital 2605,78,15,47,Urban,Yes,No,Neurology,Yes,2020
Hospital 2606,109,3,10,Rural,No,Yes,Orthopedics,Yes,2010
Hospital 2607,29,48,22,Rural,Yes,No,Cardiology,No,1994
Hospital 2608,428,37,31,Urban,Yes,Yes,General,No,1952
Hospital 2609,470,94,28,Urban,Yes,Yes,Oncology,Yes,1976
Hospital 2610,403,6,59,Rural,No,Yes,None,Yes,1969
Hospital 2611,476,25,71,Urban,No,Yes,Orthopedics,No,1951
Hospital 2612,131,77,77,Urban,No,No,Neurology,No,1959
Hospital 2613,228,59,99,Rural,Yes,Yes,Cardiology,No,1980
Hospital 2614,477,87,95,Urban,Yes,Yes,General,Yes,1950
Hospital 2615,259,83,96,Urban,No,Yes,Cardiology,No,1995
Hospital 2616,441,63,0,Urban,Yes,Yes,General,No,2018
Hospital 2617,335,40,52,Urban,Yes,No,Neurology,No,1967
Hospital 2618,226,83,97,Rural,Yes,No,General,No,1974
Hospital 2619,135,33,5,Urban,Yes,Yes,Neurology,Yes,1987
Hospital 2620,325,99,35,Urban,No,No,General,No,1952
Hospital 2621,251,13,55,Urban,Yes,Yes,Oncology,No,1989
Hospital 2622,410,7,37,Urban,No,Yes,General,No,1986
Hospital 2623,108,94,65,Urban,Yes,No,Neurology,No,1962
Hospital 2624,190,0,25,Rural,Yes,Yes,None,Yes,2004
Hospital 2625,118,65,0,Rural,No,No,General,Yes,1981
Hospital 2626,350,77,56,Urban,No,Yes,None,No,1964
Hospital 2627,218,2,48,Rural,Yes,No,Orthopedics,No,2014
Hospital 2628,406,38,11,Urban,No,Yes,Oncology,No,1969
Hospital 2629,361,34,79,Urban,Yes,Yes,Cardiology,Yes,2003
Hospital 2630,329,6,50,Urban,No,No,Oncology,Yes,1987
Hospital 2631,438,70,37,Urban,Yes,Yes,General,Yes,1971
Hospital 2632,116,25,83,Rural,No,No,Oncology,Yes,1961
Hospital 2633,224,82,50,Urban,No,Yes,Cardiology,Yes,2022
Hospital 2634,491,36,62,Urban,No,Yes,None,Yes,1960
Hospital 2635,324,15,7,Urban,No,Yes,Oncology,No,2015
Hospital 2636,367,45,78,Urban,Yes,No,Cardiology,No,1966
Hospital 2637,144,74,43,Rural,Yes,Yes,Neurology,Yes,1994
Hospital 2638,496,94,75,Urban,No,No,None,Yes,1973
Hospital 2639,332,40,88,Rural,No,Yes,Oncology,No,2016
Hospital 2640,333,31,22,Urban,No,Yes,Orthopedics,No,1950
Hospital 2641,114,51,81,Urban,Yes,Yes,Cardiology,Yes,2010
Hospital 2642,175,45,90,Rural,No,Yes,Oncology,Yes,1985
Hospital 2643,46,90,48,Rural,No,Yes,Orthopedics,Yes,1956
Hospital 2644,27,60,25,Rural,Yes,Yes,Oncology,No,1955
Hospital 2645,397,63,31,Urban,No,No,None,No,1956
Hospital 2646,410,4,83,Urban,No,Yes,General,Yes,1977
Hospital 2647,422,77,84,Urban,Yes,No,Cardiology,No,1951
Hospital 2648,489,23,70,Urban,Yes,No,Oncology,Yes,1956
Hospital 2649,219,98,55,Urban,No,Yes,General,Yes,1972
Hospital 2650,164,43,4,Urban,No,No,Cardiology,No,1953
Hospital 2651,102,51,28,Rural,Yes,Yes,Cardiology,Yes,1975
Hospital 2652,399,88,44,Rural,No,No,Oncology,No,1960
Hospital 2653,66,23,0,Urban,No,No,General,Yes,1985
Hospital 2654,160,11,53,Rural,Yes,No,Oncology,Yes,2018
Hospital 2655,168,39,65,Urban,Yes,No,Oncology,No,1956
Hospital 2656,446,29,40,Urban,Yes,No,Cardiology,No,1959
Hospital 2657,34,72,72,Urban,Yes,No,Neurology,Yes,1976
Hospital 2658,329,32,63,Rural,No,No,Orthopedics,Yes,1982
Hospital 2659,334,28,33,Urban,No,No,General,Yes,1980
Hospital 2660,258,0,56,Urban,Yes,No,Neurology,No,1986
Hospital 2661,78,90,96,Urban,Yes,Yes,Orthopedics,No,1957
Hospital 2662,173,1,72,Rural,Yes,No,Orthopedics,Yes,2008
Hospital 2663,344,67,29,Rural,Yes,No,Oncology,No,1974
Hospital 2664,143,51,68,Urban,No,Yes,Neurology,Yes,2000
Hospital 2665,263,66,7,Urban,Yes,No,Cardiology,No,1979
Hospital 2666,296,48,90,Urban,Yes,No,Neurology,Yes,1950
Hospital 2667,131,39,89,Rural,Yes,No,Neurology,Yes,2020
Hospital 2668,190,55,69,Rural,No,Yes,Cardiology,No,1986
Hospital 2669,35,100,24,Urban,Yes,Yes,General,No,1991
Hospital 2670,368,99,86,Urban,Yes,No,General,No,2010
Hospital 2671,158,57,100,Urban,No,No,None,Yes,2013
Hospital 2672,58,65,69,Rural,Yes,Yes,None,Yes,1974
Hospital 2673,28,33,82,Rural,Yes,No,Orthopedics,Yes,1983
Hospital 2674,76,67,24,Urban,Yes,Yes,Orthopedics,No,2014
Hospital 2675,437,35,67,Rural,No,Yes,Cardiology,No,1952
Hospital 2676,257,13,69,Urban,No,Yes,Cardiology,Yes,2021
Hospital 2677,126,81,35,Rural,Yes,Yes,None,No,1975
Hospital 2678,480,62,22,Rural,No,No,None,Yes,1974
Hospital 2679,238,9,45,Rural,No,Yes,None,No,2005
Hospital 2680,451,91,24,Rural,Yes,Yes,Cardiology,Yes,1969
Hospital 2681,134,52,53,Urban,Yes,Yes,General,No,1973
Hospital 2682,368,40,87,Rural,No,Yes,Orthopedics,No,1991
Hospital 2683,484,33,70,Rural,Yes,Yes,None,Yes,2018
Hospital 2684,492,65,6,Rural,Yes,No,Orthopedics,No,1957
Hospital 2685,409,97,0,Urban,Yes,Yes,Oncology,No,1999
Hospital 2686,235,74,33,Rural,No,Yes,Oncology,No,2002
Hospital 2687,241,81,27,Urban,No,Yes,Oncology,Yes,1989
Hospital 2688,445,46,96,Rural,No,No,Oncology,No,1993
Hospital 2689,457,59,98,Urban,Yes,No,Orthopedics,Yes,2020
Hospital 2690,416,91,76,Urban,Yes,No,Orthopedics,Yes,1989
Hospital 2691,204,18,1,Urban,Yes,Yes,None,No,1983
Hospital 2692,220,80,50,Urban,Yes,No,Cardiology,Yes,1991
Hospital 2693,362,59,0,Rural,Yes,Yes,Neurology,No,1969
Hospital 2694,320,11,98,Urban,Yes,Yes,Cardiology,Yes,1951
Hospital 2695,352,43,96,Rural,No,No,Orthopedics,Yes,1993
Hospital 2696,461,73,75,Rural,Yes,No,Cardiology,No,2010
Hospital 2697,25,60,11,Rural,Yes,Yes,None,Yes,2023
Hospital 2698,350,95,22,Rural,No,No,Cardiology,No,2000
Hospital 2699,79,52,69,Rural,No,Yes,Oncology,Yes,1960
Hospital 2700,357,85,50,Urban,Yes,Yes,Orthopedics,No,2016
Hospital 2701,211,78,23,Rural,No,Yes,Cardiology,No,2021
Hospital 2702,344,54,69,Urban,Yes,No,General,No,1960
Hospital 2703,263,0,9,Urban,Yes,No,None,No,1964
Hospital 2704,330,45,99,Rural,Yes,Yes,Oncology,Yes,1998
Hospital 2705,405,19,16,Urban,No,No,Orthopedics,No,1967
Hospital 2706,294,32,45,Urban,No,Yes,Cardiology,Yes,1963
Hospital 2707,50,28,12,Rural,Yes,Yes,Orthopedics,Yes,1960
Hospital 2708,42,38,97,Urban,No,No,Orthopedics,Yes,1997
Hospital 2709,111,63,51,Rural,Yes,Yes,Cardiology,Yes,2023
Hospital 2710,160,100,48,Urban,No,Yes,Cardiology,Yes,2000
Hospital 2711,261,2,59,Rural,No,Yes,None,Yes,1990
Hospital 2712,253,91,71,Urban,No,Yes,Oncology,No,2003
Hospital 2713,413,34,1,Rural,Yes,Yes,General,No,2010
Hospital 2714,271,69,5,Rural,No,No,Orthopedics,No,2023
Hospital 2715,34,54,81,Urban,Yes,No,General,No,1975
Hospital 2716,326,52,3,Urban,Yes,Yes,Oncology,No,1986
Hospital 2717,181,83,14,Rural,No,Yes,Oncology,Yes,1968
Hospital 2718,87,78,11,Rural,No,No,General,Yes,2020
Hospital 2719,348,64,87,Rural,Yes,No,Orthopedics,Yes,1972
Hospital 2720,20,74,32,Urban,No,Yes,Oncology,Yes,1963
Hospital 2721,488,45,58,Rural,Yes,Yes,None,Yes,2017
Hospital 2722,422,49,33,Rural,No,No,Oncology,No,1966
Hospital 2723,426,93,21,Urban,Yes,No,None,No,2016
Hospital 2724,79,66,21,Rural,No,Yes,General,Yes,1973
Hospital 2725,484,12,78,Rural,No,Yes,Neurology,Yes,1961
Hospital 2726,203,45,3,Rural,Yes,No,Oncology,No,2016
Hospital 2727,305,71,78,Urban,No,Yes,Oncology,Yes,2021
Hospital 2728,215,99,6,Urban,No,Yes,Orthopedics,Yes,1963
Hospital 2729,50,26,50,Rural,No,Yes,Oncology,No,1982
Hospital 2730,41,4,35,Urban,Yes,No,Oncology,No,2001
Hospital 2731,349,85,7,Urban,Yes,No,Neurology,Yes,1962
Hospital 2732,248,41,69,Urban,No,Yes,Orthopedics,No,1979
Hospital 2733,46,64,99,Rural,No,No,Cardiology,No,2004
Hospital 2734,25,77,62,Rural,No,No,Cardiology,No,1976
Hospital 2735,453,11,17,Rural,Yes,No,None,Yes,1980
